2#tos#t2#t2018065/!  0.313 1.756  0.313 1.679  0.313 1.601  0.313 1.523  0.313 1.445  0.313 1.367  0.313 1.289  0.313 1.211  0.313 1.133  0.313 1.055  0.313 0.977  0.300 0.903  0.266 0.833  0.231 0.763  0.196 0.694  0.161 0.624  0.126 0.554  0.091 0.485  0.083 0.409  0.083 0.331  0.083 0.253  0.083 0.175  0.083 0.097  0.083 0.019  0.062 -0.055  0.037 -0.129  -0.009 -0.161  -0.009 -0.239  -0.009 -0.317  -0.043 -0.360  -0.075 -0.424  -0.097 -0.498  -0.120 -0.573  -0.143 -0.647  -0.166 -0.722  -0.189 -0.796  -0.212 -0.870  -0.235 -0.945  -0.239 -1.022  -0.288 -1.051  -0.331 -1.086  -0.352 -1.143  -0.377 -1.196  -0.377 -1.274  -0.377 -1.351  -0.388 -1.327  -0.423 -1.284  -0.395 -1.235  -0.317 -1.235  -0.239 -1.235
2#tos#t2#t2018065/L  -0.292 1.707  -0.345 1.670  -0.345 1.580  -0.345 1.490  -0.345 1.400  -0.345 1.310  -0.345 1.221  -0.345 1.131  -0.345 1.041  -0.345 0.951  -0.345 0.862  -0.345 0.772  -0.345 0.682  -0.345 0.592  -0.345 0.503  -0.372 0.417  -0.397 0.332  -0.397 0.242  -0.397 0.152  -0.405 0.064  -0.446 -0.016  -0.449 -0.105  -0.449 -0.195  -0.449 -0.284  -0.449 -0.374  -0.449 -0.464  -0.453 -0.552  -0.481 -0.601  -0.397 -0.607  -0.353 -0.653  -0.267 -0.666  -0.186 -0.705  -0.097 -0.705  -0.007 -0.705  0.083 -0.705  0.173 -0.705  0.263 -0.705  0.352 -0.705  0.442 -0.705  0.532 -0.705  0.622 -0.705  0.711 -0.705  0.801 -0.705  0.891 -0.705  0.981 -0.705  1.070 -0.705  1.160 -0.705  1.244 -0.720  1.307 -0.784  1.386 -0.810
2#tos#t2#t2018065/P  -0.099 1.411  -0.310 1.407  -0.310 1.193  -0.310 0.978  -0.257 0.786  -0.257 0.571  -0.257 0.357  -0.257 0.142  -0.257 -0.072  -0.257 -0.287  -0.257 -0.501  -0.257 -0.716  -0.257 -0.930  -0.310 -1.092  -0.310 -1.306  -0.310 -1.521  -0.310 -1.735  -0.306 -1.870  -0.289 -1.656  -0.271 -1.442  -0.254 -1.229  -0.236 -1.015  -0.219 -0.801  -0.201 -0.587  -0.184 -0.374  -0.166 -0.160  -0.149 0.054  -0.131 0.267  -0.114 0.481  -0.096 0.695  -0.079 0.909  -0.061 1.122  -0.077 1.305  -0.117 1.200  0.090 1.154  0.298 1.129  0.486 1.042  0.635 0.936  0.775 0.831  0.850 0.691  0.903 0.530  0.903 0.315  0.782 0.164  0.714 -0.020  0.572 -0.170  0.376 -0.189  0.307 -0.344  0.135 -0.471  -0.043 -0.590  -0.257 -0.592
2#tos#t2#t2018065/S  0.822 1.009  0.697 1.009  0.665 1.102  0.555 1.136  0.454 1.195  0.329 1.195  0.204 1.195  0.079 1.195  -0.045 1.195  -0.124 1.149  -0.204 1.104  -0.250 0.998  -0.250 0.873  -0.226 0.763  -0.110 0.728  -0.041 0.636  0.078 0.604  0.201 0.589  0.317 0.574  0.393 0.496  0.425 0.403  0.511 0.325  0.542 0.208  0.542 0.083  0.542 -0.042  0.542 -0.167  0.542 -0.292  0.542 -0.417  0.483 -0.483  0.418 -0.561  0.356 -0.660  0.299 -0.768  0.194 -0.832  0.138 -0.934  0.066 -0.996  -0.059 -0.996  -0.164 -1.042  -0.289 -1.042  -0.414 -1.042  -0.533 -1.051  -0.572 -1.170  -0.688 -1.182  -0.720 -1.089  -0.834 -1.064  -0.903 -0.968  -0.903 -0.843  -0.903 -0.718  -0.903 -0.593  -0.903 -0.468  -0.903 -0.343
2#tos#t2#t2018065/V  -0.908 1.205  -1.038 1.205  -1.061 1.101  -0.960 1.073  -0.908 0.995  -0.856 0.917  -0.856 0.787  -0.819 0.665  -0.761 0.549  -0.747 0.424  -0.701 0.313  -0.673 0.195  -0.598 0.096  -0.562 -0.019  -0.543 -0.142  -0.451 -0.233  -0.377 -0.336  -0.329 -0.454  -0.236 -0.526  -0.236 -0.656  -0.157 -0.706  -0.133 -0.813  -0.133 -0.943  -0.093 -1.056  -0.072 -1.171  0.048 -1.197  0.074 -1.233  0.177 -1.206  0.196 -1.081  0.269 -0.975  0.280 -0.850  0.318 -0.758  0.332 -0.642  0.332 -0.512  0.415 -0.416  0.487 -0.316  0.513 -0.189  0.538 -0.063  0.641 -0.035  0.682 0.087  0.693 0.216  0.751 0.330  0.848 0.399  0.848 0.529  0.848 0.659  0.848 0.789  0.866 0.912  0.981 0.946  1.063 1.036  1.158 1.101
2#tos#t2#t2018065/W  -1.289 1.031  -1.416 0.988  -1.414 0.903  -1.331 0.783  -1.277 0.625  -1.204 0.479  -1.123 0.337  -1.075 0.180  -0.992 0.035  -0.909 -0.111  -0.907 -0.281  -0.792 -0.370  -0.757 -0.519  -0.630 -0.624  -0.567 -0.733  -0.500 -0.837  -0.476 -0.746  -0.373 -0.624  -0.313 -0.481  -0.263 -0.327  -0.228 -0.192  -0.176 -0.072  -0.143 0.065  -0.058 0.184  -0.026 0.341  -0.015 0.508  0.070 0.425  0.154 0.306  0.196 0.161  0.239 0.017  0.279 -0.115  0.364 -0.234  0.494 -0.334  0.536 -0.488  0.613 -0.582  0.684 -0.729  0.786 -0.837  0.876 -0.756  0.876 -0.585  0.919 -0.421  0.919 -0.250  0.961 -0.096  1.003 0.032  1.003 0.203  1.088 0.289  1.131 0.418  1.173 0.546  1.221 0.697  1.282 0.843  1.385 0.946
2#tos#t2#t2018065/Z  -0.301 1.246  -0.305 1.109  -0.430 1.071  -0.420 1.017  -0.279 1.017  -0.139 1.017  0.002 1.017  0.142 1.017  0.237 1.063  0.377 1.063  0.518 1.063  0.658 1.063  0.753 1.017  0.830 0.972  0.748 0.914  0.748 0.773  0.637 0.744  0.565 0.648  0.517 0.537  0.402 0.461  0.292 0.401  0.231 0.310  0.153 0.193  0.109 0.063  -0.013 -0.002  -0.134 -0.072  -0.232 -0.167  -0.318 -0.276  -0.417 -0.375  -0.523 -0.448  -0.607 -0.561  -0.683 -0.675  -0.715 -0.807  -0.803 -0.860  -0.859 -0.944  -0.894 -1.049  -0.803 -1.063  -0.691 -1.035  -0.550 -1.035  -0.501 -0.944  -0.360 -0.944  -0.220 -0.944  -0.080 -0.944  0.061 -0.944  0.201 -0.944  0.342 -0.944  0.482 -0.944  0.623 -0.944  0.763 -0.944  0.885 -0.990
2#tos#t2#t2018065/b  -0.194 1.975  -0.350 1.975  -0.387 1.856  -0.387 1.699  -0.387 1.543  -0.387 1.387  -0.387 1.230  -0.387 1.074  -0.387 0.917  -0.387 0.761  -0.387 0.605  -0.387 0.448  -0.387 0.292  -0.387 0.135  -0.387 -0.021  -0.387 -0.178  -0.387 -0.334  -0.387 -0.490  -0.387 -0.647  -0.387 -0.803  -0.387 -0.894  -0.387 -0.738  -0.387 -0.581  -0.387 -0.425  -0.332 -0.291  -0.309 -0.153  -0.258 -0.047  -0.210 0.089  -0.087 0.169  0.064 0.175  0.162 0.234  0.318 0.234  0.473 0.226  0.622 0.177  0.705 0.075  0.788 -0.031  0.902 -0.117  0.967 -0.246  0.967 -0.403  0.951 -0.551  0.821 -0.637  0.688 -0.697  0.594 -0.822  0.504 -0.950  0.413 -1.056  0.257 -1.056  0.230 -1.185  0.086 -1.238  -0.054 -1.308  -0.194 -1.378
2#tos#t2#t2018065/d  0.251 -0.199  0.057 -0.199  -0.138 -0.199  -0.332 -0.199  -0.526 -0.199  -0.660 -0.259  -0.754 -0.360  -0.821 -0.487  -0.855 -0.676  -0.850 -0.842  -0.769 -0.976  -0.589 -1.021  -0.418 -1.097  -0.227 -1.110  -0.033 -1.110  0.162 -1.110  0.200 -0.952  0.204 -0.758  0.207 -0.563  0.211 -0.369  0.214 -0.175  0.217 0.020  0.221 0.214  0.224 0.408  0.228 0.603  0.231 0.797  0.234 0.991  0.238 1.186  0.241 1.380  0.245 1.574  0.248 1.769  0.239 1.934  0.198 1.756  0.198 1.562  0.198 1.368  0.198 1.173  0.198 0.979  0.186 0.786  0.144 0.599  0.144 0.404  0.144 0.210  0.144 0.016  0.144 -0.179  0.144 -0.373  0.144 -0.567  0.144 -0.762  0.144 -0.956  0.144 -1.150  0.144 -1.345  0.144 -1.539
2#tos#t2#t2018065/e  -0.225 0.408  -0.346 0.373  -0.215 0.348  -0.059 0.348  0.097 0.348  0.253 0.348  0.409 0.348  0.565 0.348  0.721 0.348  0.858 0.329  0.858 0.402  0.832 0.542  0.738 0.640  0.651 0.709  0.616 0.830  0.531 0.916  0.414 1.010  0.258 1.010  0.136 1.044  0.006 1.071  -0.150 1.071  -0.246 1.010  -0.346 0.955  -0.428 0.868  -0.538 0.758  -0.606 0.630  -0.647 0.491  -0.647 0.335  -0.707 0.197  -0.815 0.107  -0.828 -0.036  -0.828 -0.192  -0.828 -0.348  -0.828 -0.504  -0.736 -0.587  -0.707 -0.731  -0.625 -0.824  -0.587 -0.975  -0.457 -1.037  -0.314 -1.069  -0.176 -1.122  -0.028 -1.157  0.128 -1.157  0.284 -1.157  0.380 -1.217  0.536 -1.217  0.692 -1.217  0.847 -1.217  1.003 -1.217  1.099 -1.157
2#tos#t2#t2018065/g  0.575 1.071  0.394 1.071  0.251 1.150  0.207 1.288  0.089 1.350  -0.046 1.396  -0.227 1.396  -0.351 1.334  -0.452 1.195  -0.452 1.014  -0.560 0.900  -0.560 0.719  -0.527 0.552  -0.399 0.424  -0.218 0.423  -0.073 0.491  0.004 0.624  0.073 0.747  0.181 0.885  0.251 0.920  0.251 0.739  0.305 0.580  0.413 0.476  0.413 0.295  0.413 0.114  0.413 -0.067  0.413 -0.248  0.413 -0.429  0.342 -0.594  0.274 -0.762  0.241 -0.929  0.197 -1.065  0.197 -1.246  0.035 -1.265  -0.050 -1.361  -0.123 -1.511  -0.295 -1.523  -0.453 -1.468  -0.532 -1.312  -0.589 -1.141  -0.614 -0.966  -0.560 -0.808  -0.487 -0.658  -0.306 -0.658  -0.148 -0.604  0.018 -0.567  0.191 -0.538  0.366 -0.496  0.524 -0.440  0.575 -0.496
2#tos#t2#t2018065/h  -0.280 1.997  -0.350 1.906  -0.350 1.744  -0.350 1.583  -0.350 1.421  -0.350 1.260  -0.350 1.099  -0.350 0.937  -0.350 0.776  -0.350 0.615  -0.350 0.453  -0.350 0.292  -0.350 0.130  -0.280 -0.002  -0.280 -0.163  -0.280 -0.325  -0.280 -0.486  -0.280 -0.647  -0.280 -0.809  -0.350 -0.900  -0.350 -1.061  -0.380 -1.216  -0.490 -1.298  -0.420 -1.343  -0.420 -1.182  -0.420 -1.020  -0.420 -0.859  -0.420 -0.698  -0.350 -0.606  -0.345 -0.447  -0.255 -0.312  -0.210 -0.165  -0.165 -0.014  -0.044 0.061  0.070 0.175  0.089 0.325  0.210 0.411  0.327 0.456  0.488 0.456  0.561 0.366  0.671 0.315  0.794 0.222  0.883 0.090  0.911 -0.065  0.911 -0.226  0.962 -0.366  1.051 -0.491  1.051 -0.652  1.106 -0.791  1.121 -0.946
2#tos#t2#t2018065/o  -0.015 0.884  -0.148 0.824  -0.256 0.864  -0.384 0.884  -0.532 0.884  -0.558 0.763  -0.682 0.704  -0.739 0.613  -0.857 0.583  -0.859 0.438  -0.859 0.290  -0.919 0.167  -0.919 0.019  -0.919 -0.128  -0.919 -0.276  -0.919 -0.424  -0.888 -0.565  -0.799 -0.645  -0.799 -0.793  -0.678 -0.866  -0.597 -0.945  -0.466 -0.985  -0.377 -1.043  -0.231 -1.045  -0.083 -1.045  0.065 -1.045  0.213 -1.045  0.333 -0.970  0.468 -0.919  0.551 -0.823  0.621 -0.711  0.725 -0.607  0.807 -0.486  0.890 -0.404  0.950 -0.317  0.950 -0.169  1.010 -0.080  1.010 0.067  1.010 0.214  1.010 0.362  0.950 0.485  0.950 0.633  0.826 0.686  0.701 0.764  0.564 0.788  0.456 0.884  0.308 0.884  0.160 0.884  0.012 0.884  -0.135 0.884
2#tos#t2#t2018065/p  -0.278 1.264  -0.278 1.057  -0.278 0.850  -0.278 0.642  -0.278 0.435  -0.278 0.228  -0.278 0.021  -0.278 -0.186  -0.278 -0.394  -0.278 -0.601  -0.278 -0.808  -0.278 -1.015  -0.278 -1.222  -0.278 -1.430  -0.278 -1.637  -0.335 -1.820  -0.325 -1.807  -0.307 -1.600  -0.289 -1.394  -0.271 -1.188  -0.253 -0.981  -0.235 -0.775  -0.217 -0.568  -0.199 -0.362  -0.181 -0.156  -0.162 0.051  -0.144 0.257  -0.126 0.464  -0.108 0.670  -0.090 0.876  -0.072 1.083  -0.054 1.289  -0.221 1.316  -0.180 1.150  0.014 1.093  0.221 1.093  0.429 1.093  0.574 1.031  0.687 0.938  0.800 0.791  0.971 0.695  0.971 0.488  0.919 0.302  0.853 0.123  0.706 -0.024  0.520 -0.098  0.349 -0.211  0.167 -0.274  -0.018 -0.367  -0.221 -0.383
2#tos#t2#t2018065/q  0.504 0.919  0.328 0.919  0.223 0.992  0.076 1.078  -0.095 1.121  -0.270 1.127  -0.432 1.092  -0.565 0.988  -0.715 0.935  -0.820 0.794  -0.905 0.642  -0.965 0.477  -1.021 0.314  -1.021 0.138  -1.021 -0.039  -1.021 -0.215  -1.021 -0.391  -1.021 -0.567  -0.973 -0.723  -0.806 -0.745  -0.629 -0.745  -0.462 -0.708  -0.304 -0.629  -0.170 -0.518  -0.120 -0.362  0.023 -0.329  0.176 -0.292  0.227 -0.128  0.258 0.018  0.340 0.148  0.408 0.310  0.435 0.480  0.514 0.583  0.573 0.734  0.634 0.850  0.643 0.682  0.643 0.506  0.643 0.330  0.643 0.153  0.643 -0.023  0.643 -0.199  0.643 -0.375  0.643 -0.551  0.643 -0.727  0.643 -0.904  0.643 -1.080  0.643 -1.256  0.643 -1.432  0.643 -1.608  0.643 -1.785
2#tos#t2#t2018065/s  0.780 0.938  0.694 0.810  0.666 0.870  0.538 0.945  0.420 1.033  0.312 1.108  0.158 1.108  0.056 1.192  -0.079 1.222  -0.233 1.222  -0.327 1.151  -0.471 1.108  -0.526 1.010  -0.640 0.927  -0.697 0.796  -0.697 0.642  -0.674 0.494  -0.584 0.371  -0.544 0.256  -0.391 0.256  -0.237 0.256  -0.083 0.256  0.047 0.200  0.201 0.200  0.325 0.170  0.439 0.086  0.536 0.029  0.645 -0.043  0.723 -0.135  0.738 -0.285  0.780 -0.429  0.780 -0.583  0.723 -0.680  0.655 -0.766  0.609 -0.874  0.487 -0.944  0.377 -1.050  0.223 -1.050  0.155 -1.135  0.029 -1.163  -0.109 -1.200  -0.255 -1.220  -0.409 -1.220  -0.559 -1.204  -0.640 -1.100  -0.673 -0.960  -0.742 -0.834  -0.850 -0.726  -0.867 -0.579  -0.810 -0.482
2#tos#t2#t2018065/u  -0.790 1.272  -0.858 1.219  -0.858 1.099  -0.858 0.978  -0.858 0.858  -0.858 0.737  -0.858 0.617  -0.858 0.496  -0.841 0.393  -0.790 0.323  -0.790 0.202  -0.790 0.082  -0.749 -0.029  -0.678 -0.125  -0.655 -0.236  -0.655 -0.356  -0.597 -0.418  -0.588 -0.530  -0.562 -0.634  -0.454 -0.688  -0.416 -0.792  -0.331 -0.878  -0.244 -0.959  -0.124 -0.959  -0.031 -1.027  0.089 -1.027  0.210 -1.027  0.263 -0.959  0.359 -0.935  0.433 -0.885  0.519 -0.800  0.562 -0.697  0.562 -0.577  0.631 -0.486  0.697 -0.431  0.697 -0.311  0.697 -0.190  0.697 -0.070  0.697 0.051  0.697 0.171  0.697 0.292  0.697 0.412  0.766 0.465  0.795 0.582  0.824 0.699  0.832 0.818  0.836 0.937  0.900 1.031  0.968 1.084  0.968 1.205
2#tos#t2#t2018065/x  -0.990 1.054  -1.114 0.989  -1.169 0.869  -1.046 0.785  -0.929 0.681  -0.813 0.565  -0.682 0.457  -0.534 0.400  -0.425 0.253  -0.275 0.187  -0.181 0.024  -0.088 -0.140  0.070 -0.224  0.216 -0.337  0.361 -0.453  0.478 -0.588  0.577 -0.733  0.688 -0.857  0.853 -0.913  0.916 -1.042  0.915 -0.858  0.909 -0.670  0.904 -0.482  0.898 -0.294  0.893 -0.106  0.887 0.082  0.882 0.270  0.876 0.459  0.871 0.647  0.865 0.835  0.860 1.023  0.735 1.021  0.648 0.905  0.528 0.762  0.399 0.639  0.240 0.561  0.176 0.435  0.018 0.337  -0.088 0.187  -0.180 0.033  -0.312 -0.084  -0.396 -0.221  -0.516 -0.360  -0.657 -0.474  -0.764 -0.603  -0.913 -0.717  -1.006 -0.880  -1.110 -1.036  -1.175 -1.162  -1.299 -1.226
